fuel_type,body_type,kilometer_runned,transmission_type,number_of_owners,manufacturer,model,model_year,price,registration_year,insurance_validity,seats,engine_displacement,mileage,max_power(bhp),City
1,460293.0196,46.42,0,2,20,167,2013,1350000,2013,2,5,12.68,2.46,4.94,0
4,460293.0196,41.02,1,1,19,156,2015,575000,2015,2,5,10.62,2.8,4.34,0
4,1045481.863,36.84,1,2,8,78,2016,868000,2016,5,5,11.67,2.57,4.95,0
1,1042342.282,39.15,0,1,12,96,2020,3000000,2020,5,8,12.68,2.42,5.82,0
4,460293.0196,24.66,0,1,19,156,2022,900000,2022,4,5,10.62,2.83,4.46,0
4,460293.0196,44.94,1,2,7,59,2016,550000,2016,2,5,10.62,2.65,4.46,0
4,460293.0196,40.19,1,2,19,156,2017,610000,2017,6,5,10.62,2.73,4.34,0
4,460293.0196,41.26,1,1,7,59,2017,543000,2017,2,5,10.62,2.65,4.46,0
4,460293.0196,42.87,1,1,7,59,2016,535000,2016,6,5,10.62,2.65,4.46,0
1,1494416.76,54.74,1,2,16,129,2014,850000,2014,2,7,12.68,2.47,5.19,0
4,1045481.863,41.63,1,2,19,142,2016,661000,2016,5,5,11.11,2.75,4.5,0
4,460293.0196,37.44,1,2,19,156,2015,505000,2015,2,5,10.62,2.82,4.46,0
1,1045481.863,53.13,0,1,27,216,2007,450000,2007,5,5,12.38,2.5,4.73,0
4,1494416.76,33.29,1,1,7,62,2017,865000,2017,5,5,10.62,2.6,4.46,0
4,1494416.76,36.33,1,1,8,77,2019,999000,2019,2,5,9.99,2.63,4.91,0
1,1494416.76,51.3,1,1,23,198,2014,595000,2014,2,5,11.35,2.73,4.38,0
4,1045481.863,36.19,0,2,27,220,2018,2365000,2018,2,5,12.16,2.45,5.62,0
4,1045481.863,36.84,1,2,5,39,2012,400000,2012,5,5,11.1,2.44,4.82,0
1,1494416.76,38.03,0,1,1,18,2020,6050000,2020,2,5,12.68,2.45,5.84,0
1,1494416.76,47.91,0,2,1,17,2011,1600000,2011,2,5,12.59,2.55,5.84,0
4,460293.0196,44.81,0,3,30,258,2013,520000,2013,5,5,10.62,2.58,4.7,0
4,460293.0196,48.86,1,1,19,137,2016,616000,2016,6,5,10.62,2.78,4.36,0
4,1045481.863,37.93,1,2,19,142,2019,795000,2019,6,5,11.35,2.78,4.69,0
1,1042342.282,49.32,1,2,29,250,2013,1275000,2013,5,7,12.68,2.35,4.65,0
4,460293.0196,40.22,1,1,7,59,2016,624000,2016,2,5,10.62,2.65,4.46,0
4,460293.0196,51.11,1,1,8,70,2017,549000,2017,6,5,10.62,2.66,4.34,0
1,1042342.282,49.32,1,3,29,250,2010,760000,2010,5,7,12.68,2.25,4.65,0
